F001|VN001|Ho Chi Minh|20/11/2025|3
F002|VN003|Ha Noi|24/11/2025|3
F003|VN002|Binh Dinh|26/12/2025|1
F004|VN001|Hoi Nhon|15/12/2025|1|F004-2|F004-3|F004-5|F004-6|F004-4|F004-7
F005|VN005|Phu Quoc|15/12/2025|1|F005-2|F005-5|F005-1|F005-8|F005-6
F006|VN010|Ha Noi|15/12/2025|1|F006-1|F006-4|F006-7
F007|VN004|Dong Nai|15/12/2025|1|F007-3|F007-2|F007-5
F008|VN006|Da Lat|15/12/2025|1|F008-2
F009|VN007|Hue|15/12/2025|1
F010|VN008|Con Dao|15/12/2025|0
F011|VN009|Khanh Hoa|15/12/2025|1
F012|VN003|Binh Dinh|15/12/2025|1
